date_posted,review_count
2005-08-01,1
2006-12-11,1
2006-12-16,1
2006-12-31,2
2007-01-18,1
2007-01-22,1
2007-02-07,1
2007-03-11,1
2007-05-30,1
2007-06-27,1
2007-10-30,1
2007-12-05,1
2008-01-03,1
2008-10-11,1
2008-11-08,1
2008-11-16,1
2008-11-23,1
2009-01-29,1
2009-02-03,1
2009-03-12,1
2009-04-05,1
2009-05-09,1
2009-06-21,1
2009-10-16,1
2009-10-22,1
2009-11-03,1
2009-11-21,1
2009-12-04,1
2010-01-06,1
2010-01-13,2
2010-01-30,1
2010-02-21,1
2010-03-23,1
2010-03-25,1
2010-03-29,1
2010-04-05,1
2010-06-01,3
2010-06-08,1
2010-10-14,1
2010-11-17,1
2010-12-01,1
2010-12-18,1
2011-01-14,1
2011-01-23,1
2011-02-11,1
2011-02-22,1
2011-03-01,1
2011-03-03,1
2011-03-15,1
2011-05-11,1
2011-05-30,1
2011-07-08,1
2011-08-03,1
2011-08-31,1
2011-09-12,1
2011-09-26,1
2011-10-03,1
2011-10-25,1
2011-11-28,1
2011-12-04,4
2011-12-26,1
2011-12-28,1
2011-12-31,1
2012-01-04,2
2012-01-10,1
2012-01-13,1
2012-02-03,1
2012-02-07,1
2012-02-27,1
2012-04-06,1
2012-05-02,1
2012-05-03,1
2012-05-05,1
2012-05-08,1
2012-05-24,1
2012-05-25,1
2012-06-07,1
2012-06-14,1
2012-07-13,1
2012-08-18,1
2012-08-23,1
2012-09-03,1
2012-09-05,1
2012-09-10,1
2012-09-14,1
2012-09-23,1
2012-10-08,2
2012-10-15,1
2012-10-16,1
2012-10-18,1
2012-10-22,1
2012-10-30,1
2012-11-12,1
2012-11-17,1
2012-11-18,1
2012-11-23,1
2012-11-25,2
2012-11-26,1
2012-11-27,1
2012-12-03,1
2012-12-04,1
2012-12-05,1
2012-12-06,2
2012-12-07,1
2012-12-08,1
2012-12-09,2
2012-12-10,1
2012-12-11,1
2012-12-27,1
2012-12-29,1
2012-12-31,1
2013-01-01,1
2013-01-06,1
2013-01-08,1
2013-01-12,1
2013-01-14,1
2013-01-15,2
2013-01-20,1
2013-01-21,1
2013-01-25,2
2013-01-26,1
2013-01-28,1
2013-01-31,1
2013-02-01,1
2013-02-06,1
2013-02-07,1
2013-02-10,1
2013-02-12,1
2013-02-13,1
2013-02-17,2
2013-02-19,1
2013-02-20,1
2013-02-22,1
2013-03-03,1
2013-03-16,1
2013-03-21,1
2013-03-25,1
2013-04-01,1
2013-04-03,2
2013-04-04,1
2013-04-11,1
2013-04-14,1
2013-04-18,1
2013-04-22,1
2013-04-23,1
2013-04-24,1
2013-05-02,3
2013-05-10,1
2013-05-14,3
2013-05-18,1
2013-05-23,1
2013-05-25,1
2013-05-26,2
2013-05-29,1
2013-05-31,1
2013-06-01,1
2013-06-08,1
2013-06-10,3
2013-06-12,1
2013-06-14,1
2013-06-23,1
2013-06-26,1
2013-06-27,1
2013-07-04,1
2013-07-05,1
2013-07-06,1
2013-07-11,1
2013-07-15,1
2013-07-17,1
2013-07-18,1
2013-07-20,1
2013-07-21,1
2013-07-22,2
2013-07-27,2
2013-07-28,1
2013-07-31,1
2013-08-01,1
2013-08-02,1
2013-08-05,1
2013-08-07,2
2013-08-08,2
2013-08-21,1
2013-08-22,1
2013-08-23,3
2013-08-28,2
2013-09-03,1
2013-09-05,1
2013-09-07,1
2013-09-09,1
2013-09-10,1
2013-09-12,2
2013-09-17,1
2013-09-20,2
2013-09-21,1
2013-09-26,1
2013-09-27,1
2013-09-30,1
2013-10-02,2
2013-10-03,1
2013-10-05,2
2013-10-10,1
2013-10-11,3
2013-10-14,1
2013-10-16,1
2013-10-18,1
2013-10-19,2
2013-10-20,1
2013-10-22,1
2013-10-24,3
2013-10-25,1
2013-10-26,2
2013-10-28,5
2013-10-30,1
2013-10-31,1
2013-11-01,5
2013-11-02,2
2013-11-04,1
2013-11-05,3
2013-11-06,1
2013-11-07,2
2013-11-10,2
2013-11-12,1
2013-11-13,1
2013-11-14,1
2013-11-15,1
2013-11-16,2
2013-11-20,2
2013-11-24,2
2013-11-25,1
2013-11-27,1
2013-12-01,1
2013-12-02,1
2013-12-03,1
2013-12-05,2
2013-12-07,1
2013-12-08,2
2013-12-09,2
2013-12-10,2
2013-12-13,1
2013-12-14,1
2013-12-15,1
2013-12-18,1
2013-12-19,1
2013-12-20,1
2013-12-21,2
2013-12-22,1
2013-12-23,1
2013-12-25,1
2013-12-26,1
2013-12-27,1
2013-12-29,3
2013-12-30,1
2013-12-31,5
2014-01-01,1
2014-01-02,1
2014-01-03,4
2014-01-05,1
2014-01-07,2
2014-01-08,4
2014-01-09,1
2014-01-10,1
2014-01-11,2
2014-01-12,1
2014-01-13,1
2014-01-14,1
2014-01-15,1
2014-01-16,2
2014-01-17,2
2014-01-18,1
2014-01-19,2
2014-01-22,2
2014-01-23,1
2014-01-28,2
2014-01-30,2
2014-02-01,1
2014-02-02,2
2014-02-05,1
2014-02-06,1
2014-02-08,3
2014-02-10,2
2014-02-11,1
2014-02-12,3
2014-02-18,1
2014-02-23,1
2014-02-24,1
2014-02-26,1
2014-02-27,1
2014-02-28,1
2014-03-01,1
2014-03-05,1
2014-03-07,3
2014-03-08,3
2014-03-10,1
2014-03-11,2
2014-03-12,1
2014-03-14,2
2014-03-17,1
2014-03-18,1
2014-03-19,3
2014-03-20,1
2014-03-22,1
2014-03-24,1
2014-03-25,1
2014-03-26,2
2014-03-27,2
2014-03-28,1
2014-03-29,1
2014-03-31,2
2014-04-01,3
2014-04-02,5
2014-04-03,1
2014-04-04,1
2014-04-05,3
2014-04-06,2
2014-04-07,2
2014-04-08,1
2014-04-09,1
2014-04-10,3
2014-04-12,2
2014-04-13,1
2014-04-14,2
2014-04-15,1
2014-04-17,1
2014-04-19,1
2014-04-20,1
2014-04-22,3
2014-04-23,3
2014-04-24,3
2014-04-25,3
2014-04-26,2
2014-04-27,1
2014-04-28,1
2014-04-29,1
2014-04-30,2
2014-05-02,2
2014-05-05,1
2014-05-07,1
2014-05-08,1
2014-05-09,1
2014-05-11,1
2014-05-12,3
2014-05-13,1
2014-05-14,1
2014-05-15,3
2014-05-16,1
2014-05-18,1
2014-05-20,1
2014-05-21,1
2014-05-22,3
2014-05-24,1
2014-05-25,1
2014-05-26,1
2014-05-27,2
2014-05-29,3
2014-05-30,2
2014-06-01,1
2014-06-02,2
2014-06-03,2
2014-06-04,3
2014-06-06,3
2014-06-07,1
2014-06-09,1
2014-06-10,1
2014-06-11,2
2014-06-13,2
2014-06-14,1
2014-06-15,2
2014-06-16,1
2014-06-17,2
2014-06-18,1
2014-06-19,1
2014-06-20,1
2014-06-21,1
2014-06-22,1
2014-06-23,2
2014-06-24,4
2014-06-25,1
2014-06-27,1
2014-06-29,4
2014-06-30,1
2014-07-02,1
2014-07-03,2
2014-07-04,1
2014-07-06,1
2014-07-07,3
2014-07-08,2
2014-07-09,3
2014-07-11,2
2014-07-12,3
2014-07-13,1
2014-07-14,1
2014-07-15,5
2014-07-17,1
2014-07-18,1
2014-07-19,3
2014-07-20,1
2014-07-21,5
2014-07-22,3
2014-07-23,2
2014-07-24,1
2014-07-25,3
2014-07-26,1
2014-07-27,2
2014-07-28,4
2014-07-29,4
2014-07-30,2
2014-07-31,4
2014-08-01,2
2014-08-02,2
2014-08-03,2
2014-08-04,3
2014-08-05,2
2014-08-06,2
2014-08-07,2
2014-08-08,4
2014-08-09,2
2014-08-10,2
2014-08-11,2
2014-08-13,2
2014-08-14,1
2014-08-15,2
2014-08-16,3
2014-08-17,3
2014-08-18,3
2014-08-19,2
2014-08-20,1
2014-08-21,6
2014-08-22,3
2014-08-25,3
2014-08-26,4
2014-08-27,2
2014-08-28,1
2014-08-29,2
2014-08-30,3
2014-08-31,3
2014-09-01,1
2014-09-02,1
2014-09-03,2
2014-09-04,3
2014-09-05,2
2014-09-06,1
2014-09-07,1
2014-09-08,8
2014-09-09,6
2014-09-10,1
2014-09-11,4
2014-09-13,4
2014-09-14,6
2014-09-15,5
2014-09-16,1
2014-09-17,3
2014-09-18,4
2014-09-19,5
2014-09-20,3
2014-09-21,3
2014-09-22,4
2014-09-23,3
2014-09-24,3
2014-09-25,3
2014-09-26,2
2014-09-27,3
2014-09-28,4
2014-09-29,6
2014-09-30,3
2014-10-01,4
2014-10-02,5
2014-10-03,3
2014-10-04,4
2014-10-05,4
2014-10-06,4
2014-10-07,2
2014-10-08,6
2014-10-09,7
2014-10-10,5
2014-10-11,3
2014-10-12,3
2014-10-13,6
2014-10-14,6
2014-10-15,2
2014-10-16,2
2014-10-17,3
2014-10-18,5
2014-10-19,3
2014-10-20,4
2014-10-21,8
2014-10-22,6
2014-10-23,4
2014-10-24,2
2014-10-25,1
2014-10-26,6
2014-10-27,3
2014-10-28,8
2014-10-29,5
2014-10-30,6
2014-10-31,6
2014-11-01,3
2014-11-02,7
2014-11-03,3
2014-11-04,2
2014-11-05,5
2014-11-06,7
2014-11-07,1
2014-11-08,5
2014-11-09,1
2014-11-10,3
2014-11-11,3
2014-11-12,3
2014-11-13,4
2014-11-14,3
2014-11-15,2
2014-11-16,4
2014-11-17,3
2014-11-18,6
2014-11-19,3
2014-11-20,3
2014-11-21,2
2014-11-23,2
2014-11-24,2
2014-11-25,1
2014-11-27,5
2014-11-28,1
2014-11-29,3
2014-11-30,4
2014-12-01,5
2014-12-02,4
2014-12-03,2
2014-12-04,4
2014-12-05,4
2014-12-06,1
2014-12-08,2
2014-12-09,5
2014-12-10,2
2014-12-11,8
2014-12-12,4
2014-12-13,2
2014-12-14,5
2014-12-15,5
2014-12-16,2
2014-12-17,5
2014-12-18,3
2014-12-19,4
2014-12-20,1
2014-12-21,4
2014-12-22,3
2014-12-23,5
2014-12-24,4
2014-12-25,4
2014-12-26,3
2014-12-27,4
2014-12-28,5
2014-12-29,4
2014-12-30,8
2014-12-31,7
2015-01-01,2
2015-01-02,8
2015-01-03,8
2015-01-04,4
2015-01-05,3
2015-01-06,9
2015-01-07,7
2015-01-08,4
2015-01-09,1
2015-01-10,5
2015-01-11,4
2015-01-12,1
2015-01-13,6
2015-01-14,4
2015-01-15,5
2015-01-16,3
2015-01-17,5
2015-01-18,3
2015-01-19,2
2015-01-20,5
2015-01-21,6
2015-01-22,3
2015-01-23,3
2015-01-24,3
2015-01-25,2
2015-01-26,2
2015-01-27,2
2015-01-28,1
2015-01-29,5
2015-01-30,5
2015-01-31,7
2015-02-01,1
2015-02-02,4
2015-02-03,5
2015-02-04,1
2015-02-05,2
2015-02-06,1
2015-02-07,2
2015-02-08,3
2015-02-09,3
2015-02-10,6
2015-02-11,11
2015-02-12,4
2015-02-13,7
2015-02-14,3
2015-02-15,3
2015-02-16,2
2015-02-17,2
2015-02-18,2
2015-02-19,2
2015-02-20,2
2015-02-21,3
2015-02-22,2
2015-02-23,1
2015-02-24,9
2015-02-25,4
2015-02-26,5
2015-02-27,1
2015-02-28,3
2015-03-01,1
2015-03-02,1
2015-03-03,4
2015-03-04,4
2015-03-05,6
2015-03-06,2
2015-03-07,3
2015-03-08,2
2015-03-09,4
2015-03-10,5
2015-03-11,4
2015-03-13,1
2015-03-14,5
2015-03-15,1
2015-03-16,4
2015-03-17,3
2015-03-18,4
2015-03-19,2
2015-03-20,2
2015-03-21,2
2015-03-22,2
2015-03-23,5
2015-03-24,7
2015-03-25,1
2015-03-26,4
2015-03-27,4
2015-03-28,5
2015-03-29,6
2015-03-30,5
2015-03-31,6
2015-04-01,1
2015-04-02,6
2015-04-03,4
2015-04-04,2
2015-04-05,2
2015-04-06,4
2015-04-07,6
2015-04-08,6
2015-04-09,6
2015-04-10,3
2015-04-11,4
2015-04-12,3
2015-04-13,8
2015-04-14,7
2015-04-15,5
2015-04-16,8
2015-04-17,5
2015-04-18,2
2015-04-19,7
2015-04-20,5
2015-04-21,5
2015-04-22,3
2015-04-23,4
2015-04-24,2
2015-04-25,3
2015-04-26,5
2015-04-27,3
2015-04-28,3
2015-04-29,5
2015-04-30,5
2015-05-01,4
2015-05-02,3
2015-05-03,1
2015-05-04,9
2015-05-05,6
2015-05-06,6
2015-05-07,9
2015-05-08,3
2015-05-09,6
2015-05-10,2
2015-05-11,7
2015-05-12,2
2015-05-13,5
2015-05-14,2
2015-05-15,11
2015-05-16,4
2015-05-17,5
2015-05-18,3
2015-05-19,6
2015-05-21,4
2015-05-22,4
2015-05-23,3
2015-05-24,3
2015-05-25,2
2015-05-26,5
2015-05-27,4
2015-05-28,4
2015-05-29,9
2015-05-30,4
2015-05-31,5
2015-06-01,3
2015-06-02,2
2015-06-03,9
2015-06-04,8
2015-06-05,5
2015-06-06,3
2015-06-07,3
2015-06-08,9
2015-06-09,7
2015-06-10,7
2015-06-11,7
2015-06-12,4
2015-06-13,3
2015-06-14,7
2015-06-15,8
2015-06-16,4
2015-06-18,6
2015-06-19,4
2015-06-20,2
2015-06-21,3
2015-06-22,7
2015-06-23,5
2015-06-24,8
2015-06-25,9
2015-06-26,9
2015-06-27,3
2015-06-28,9
2015-06-29,5
2015-06-30,4
2015-07-01,3
2015-07-02,8
2015-07-03,7
2015-07-04,2
2015-07-05,4
2015-07-06,6
2015-07-07,8
2015-07-08,4
2015-07-09,5
2015-07-10,5
2015-07-11,3
2015-07-12,6
2015-07-13,9
2015-07-14,6
2015-07-15,3
2015-07-16,3
2015-07-17,9
2015-07-18,5
2015-07-19,3
2015-07-20,8
2015-07-21,8
2015-07-22,5
2015-07-23,6
2015-07-24,9
2015-07-25,3
2015-07-26,5
2015-07-27,6
2015-07-28,13
2015-07-29,5
2015-07-30,10
2015-07-31,12
2015-08-01,3
2015-08-02,6
2015-08-03,8
2015-08-04,7
2015-08-05,7
2015-08-06,10
2015-08-07,7
2015-08-08,5
2015-08-09,5
2015-08-10,10
2015-08-11,9
2015-08-12,7
2015-08-13,7
2015-08-14,10
2015-08-15,5
2015-08-16,4
2015-08-17,7
2015-08-18,8
2015-08-19,11
2015-08-20,9
2015-08-21,9
2015-08-22,9
2015-08-23,4
2015-08-24,6
2015-08-25,5
2015-08-26,11
2015-08-27,6
2015-08-28,12
2015-08-29,5
2015-08-30,9
2015-08-31,19
2015-09-01,6
2015-09-02,21
2015-09-03,7
2015-09-04,7
2015-09-05,3
2015-09-06,6
2015-09-07,8
2015-09-08,8
2015-09-09,12
2015-09-10,11
2015-09-11,5
2015-09-12,7
2015-09-13,4
2015-09-14,20
2015-09-15,7
2015-09-16,16
2015-09-17,7
2015-09-18,4
2015-09-19,8
2015-09-20,3
2015-09-21,6
2015-09-22,13
2015-09-23,12
2015-09-24,7
2015-09-25,2
2015-09-26,5
2015-09-27,8
2015-09-28,13
2015-09-29,14
2015-09-30,14
2015-10-01,8
2015-10-02,6
2015-10-03,13
2015-10-04,5
2015-10-05,10
2015-10-06,14
2015-10-07,9
2015-10-08,15
2015-10-09,14
2015-10-10,6
2015-10-11,7
2015-10-12,12
2015-10-13,9
2015-10-14,10
2015-10-15,10
2015-10-16,11
2015-10-17,5
2015-10-18,11
2015-10-19,14
2015-10-20,19
2015-10-21,13
2015-10-22,10
2015-10-23,9
2015-10-24,13
2015-10-25,14
2015-10-26,12
2015-10-27,18
2015-10-28,15
2015-10-29,14
2015-10-30,8
2015-10-31,7
2015-11-01,11
2015-11-02,16
2015-11-03,16
2015-11-04,13
2015-11-05,20
2015-11-06,13
2015-11-07,10
2015-11-08,13
2015-11-09,10
2015-11-10,13
2015-11-11,16
2015-11-12,10
2015-11-13,20
2015-11-14,6
2015-11-15,10
2015-11-16,21
2015-11-17,25
2015-11-18,13
2015-11-19,14
2015-11-20,15
2015-11-21,8
2015-11-22,13
2015-11-23,26
2015-11-24,10
2015-11-25,14
2015-11-26,7
2015-11-27,11
2015-11-28,11
2015-11-29,7
2015-11-30,8
2015-12-01,11
2015-12-02,24
